Quarter,Inv,Q
2012(1),0.00878593970839679,0.896845460489987
2012(2),0.00878324718765253,0.881255908125988
2012(3),0.00920137301085837,0.891437404198238
2012(4),0.00893836015259883,0.898482241390657
2013(1),0.00669562908265683,0.911539778396085
2013(2),0.0059687874698776,0.910226590110581
2013(3),0.00567047189632385,0.916940823950623
2013(4),0.00578687667675169,0.916703019115461
2014(1),0.00754326223606295,0.934188476387545
2014(2),0.00628455705452618,0.932401541332194
2014(3),0.00710536276515173,0.941341246671624
2014(4),0.0085058692034776,0.955461209983453
2015(1),0.00741881791529338,0.978772529801467
2015(2),0.00800396400274159,0.981679492904354
2015(3),0.00916251894721677,0.985538795362859
2015(4),0.00912993721781398,0.986838732183602
2016(1),0.00682523408057904,0.97724862239174
2016(2),0.011125960620812,0.98346671076014
2016(3),0.00913758749686469,0.993865916692324
2016(4),0.0109587801536597,0.991760062965731
2017(1),0.0113350116837857,0.9834161265388
2017(2),0.01238913619861,1.00202939783787
2017(3),0.0133536711175502,1.00524088070715
2017(4),0.0138819874350267,1.00490780812888
2018(1),0.0127756969881715,1.00897023427219
2018(2),0.0135661600395786,1.01707832155792
2018(3),0.0143148311901878,1.00833383753427
2018(4),0.0145336613176442,1.00608269833007
2019(1),0.0156484604986483,1.00126636041236
2019(2),0.0158166520809544,1.01128057680731
2019(3),0.014864884732371,1.0133812253715
2019(4),0.0157291520442332,1.01792357143992
2020(1),0.0147664923849227,0.99938146104775
2020(2),0.0172468117029088,1.01388840385928
2020(3),0.0193302268549591,1.04485363991326
2020(4),0.0218015407482998,1.08670034221007
2021(1),0.0238591233430466,1.1117610584546
2021(2),0.0222301094552764,1.11995152679921
2021(3),0.0199490068228225,1.11263245501633
2021(4),0.0188413305141739,1.10716601423507
2022(1),0.0197212558170461,1.09217545107046
2022(2),0.0169872479220473,1.06036845598519
2022(3),0.0159116600041279,1.01759723769006
2022(4),0.0144658582325914,0.971524885939533
2023(1),0.0118505800698736,0.956280834495952
